iter,solution
0,0 0 1 0 1 0 
1,0 0 0 0 1 1 
2,0 0 1 0 0 1 
3,0 0 1 1 1 1 
4,0 0 1 1 1 1 
5,0 0 1 0 1 0 
6,0 0 0 0 1 1 
7,0 0 1 0 1 0 
8,0 0 1 1 1 1 
9,0 0 1 0 1 0 
10,0 0 1 0 1 0 
11,0 0 1 0 1 0 
12,0 0 1 0 0 1 
13,0 0 1 1 1 1 
14,0 0 1 1 1 1 
15,0 1 1 0 1 1 
16,0 0 1 0 1 1 
17,0 1 1 1 1 1 
18,0 1 1 0 0 1 
19,0 1 1 0 0 1 
20,0 1 1 0 0 1 
21,0 1 1 1 1 1 
22,0 1 1 0 0 1 
23,0 1 0 0 1 1 
24,0 1 1 0 1 0 
25,1 1 1 0 1 1 
26,0 1 1 1 1 1 
27,1 1 1 0 1 1 
28,0 1 1 1 1 1 
29,0 1 0 0 1 1 
30,0 1 1 1 1 1 
31,1 1 1 0 1 1 
32,0 1 1 1 1 1 
33,0 0 1 0 1 1 
34,0 0 1 0 1 1 
35,0 1 0 0 1 1 
36,1 1 1 0 1 1 
37,0 1 1 0 1 0 
38,0 0 1 0 1 1 
39,0 1 1 0 1 0 
40,0 1 1 1 1 1 
41,0 1 1 0 1 0 
42,0 1 1 0 0 1 
43,1 1 1 0 1 1 
44,0 0 1 0 1 1 
45,0 1 1 1 1 1 
46,0 1 0 0 1 1 
47,0 0 1 0 1 1 
48,0 1 1 1 1 1 
49,0 1 1 0 0 1 
50,0 1 1 1 1 1 
51,0 1 1 1 1 1 
52,1 1 1 0 1 1 
53,0 0 1 0 1 1 
54,0 1 1 0 0 1 
55,0 1 0 0 1 1 
56,0 1 1 0 1 0 
57,0 1 1 0 1 0 
58,0 1 0 0 1 1 
59,0 1 1 0 0 1 
60,0 1 1 0 1 0 
61,0 1 1 1 1 1 
62,0 1 1 1 1 1 
63,0 1 1 0 1 0 
64,0 1 0 0 1 1 
65,0 0 1 0 1 1 
66,1 1 1 0 1 1 
67,1 1 1 0 1 1 
68,0 0 1 0 1 1 
69,0 1 1 0 0 1 
70,1 1 1 0 1 1 
71,1 1 1 0 1 1 
72,0 1 1 1 1 1 
73,1 1 1 0 1 1 
74,0 1 1 0 1 0 
75,1 1 1 0 1 1 
76,0 1 1 0 1 0 
77,1 1 1 0 1 1 
78,0 1 1 0 1 0 
79,0 1 1 1 1 1 
80,0 1 1 1 1 1 
81,1 1 1 0 1 1 
82,0 1 1 1 1 1 
83,1 1 1 0 1 1 
84,0 1 1 0 0 1 
85,0 1 1 0 1 0 
86,0 1 1 0 0 1 
87,0 1 1 1 1 1 
88,0 1 1 1 1 1 
89,0 0 1 0 1 1 
90,0 0 1 0 1 1 
91,0 0 1 0 1 1 
92,0 1 1 0 1 0 
93,0 1 1 0 1 0 
94,0 0 1 0 1 1 
95,0 1 0 0 1 1 
96,0 0 1 0 1 1 
97,0 1 0 0 1 1 
98,0 0 1 0 1 1 
99,0 1 1 1 1 1 
100,0 1 1 0 0 1 
101,1 1 1 0 1 1 
102,0 1 1 1 1 1 
103,0 0 1 0 1 1 
104,0 0 1 0 1 1 
105,0 1 1 1 1 1 
106,0 1 1 0 0 1 
107,0 1 1 1 1 1 
108,0 1 1 0 0 1 
109,0 1 1 1 1 1 
110,0 1 1 1 1 1 
111,1 1 1 0 1 1 
112,0 1 1 0 1 0 
113,0 1 1 0 1 0 
114,1 1 1 0 1 1 
