iter,current_fitness,new_fitness
0,405.06,461.1
1,405.06,430.62
2,405.06,509.77
3,377.04,377.04
4,377.04,397.07
5,377.04,509.71
6,222.11,222.11
7,170.47,170.47
8,170.47,186.02
9,170.47,327.36
10,120.28,120.28
11,120.28,198.14
12,71.46,71.46
13,65.01,65.01
14,31.86,31.86
15,31.86,120.46
16,31.86,95
17,26.29,26.29
18,7.39,7.39
19,7.39,41.91
20,7.39,19.16
21,7.39,56.19
22,7.39,98.27
23,5.53,5.53
24,5.53,110.24
25,5.53,115.73
26,5.53,19.54
27,5.53,45.44
28,5.53,74.32
29,5.53,154.74
30,5.53,85.35
31,5.53,55.72
32,5.53,167.58
33,5.53,142.03
34,5.53,39.21
35,5.53,45.44
36,5.53,160.46
37,5.53,147.84
38,5.53,57.61
39,5.53,57.17
40,5.53,170.4
41,5.53,120.35
42,5.53,155.61
43,5.53,170.15
44,5.53,21.08
45,5.53,74.32
46,5.53,39.21
47,5.53,74.32
48,5.53,172.75
49,5.53,39.21
50,5.53,167.58
51,5.53,32.08
52,5.53,81.39
53,5.53,104.6
54,4.83,4.83
55,4.83,39.15
56,4.83,172.03
57,4.83,155.93
58,4.83,35.65
59,4.83,46.81
60,4.83,201.87
61,4.83,21.72
62,4.83,174.78
63,4.83,180.51
64,4.83,131.64
65,4.83,35.09
66,4.83,91.75
67,4.83,127.3
68,4.83,127.3
69,4.83,71.52
70,4.83,62.97
71,4.83,20.73
72,4.83,130.71
73,4.83,86.16
74,4.83,161.99
75,4.83,44
76,4.83,141.56
77,4.83,177.93
78,4.83,152.06
79,4.83,98.19
80,4.83,64.76
81,4.83,102.67
82,4.83,203.41
83,4.83,5.53
84,4.83,160.89
85,4.83,152.06
86,4.83,130.41
87,4.83,35.09
88,4.83,104.07
89,4.83,141.56
90,4.83,29.9
91,4.83,172.03
92,4.83,29.9
93,4.83,120.88
94,4.83,5.53
95,4.83,144.38
96,4.83,67.97
97,4.83,91.75
98,4.83,171.52
99,4.83,20.73
100,4.83,64.77
101,4.83,86.16
102,4.83,151.92
103,4.83,203.41
104,4.83,57.93
105,4.83,71.52
106,4.83,86.16
107,4.83,51.21
108,4.83,73.03
109,4.83,14.23
110,4.83,5.53
111,4.83,63.96
112,4.83,21.72
113,4.83,130.41
114,4.83,67.97
115,4.83,35.09
116,4.83,99.88
117,4.83,160.12
118,4.83,127.3
119,4.83,80.46
120,4.83,23.19
121,4.83,167.22
122,4.83,141.05
123,4.83,10.72
124,4.83,158.2
125,4.83,35.65
126,4.83,94.25
127,4.83,91.75
128,4.83,144.38
129,4.83,143.12
130,4.83,144.38
131,4.83,20.46
132,4.83,174.78
133,4.83,154.38
134,4.83,167.22
135,4.83,183.11
136,4.83,180.51
137,4.83,86.84
138,4.83,174.31
139,4.83,44
140,4.83,17.75
141,4.83,201.87
142,4.83,180.51
143,4.83,131.64
144,4.83,130.71
145,4.83,191.53
146,4.83,120.88
147,4.83,73.03
148,4.83,67.97
149,4.83,161.99
150,4.83,130.53
151,4.83,64.76
152,4.83,141.56
153,4.83,144.38
154,4.83,154.91
155,4.83,180.76
156,4.83,9.15
157,4.83,167.22
158,4.83,72.1
159,4.83,191.53
160,4.83,151.92
161,4.83,23.19
162,4.83,35.65
163,4.83,105.12
164,4.83,86.16
165,4.83,141.05
166,4.83,20.73
167,4.83,154.91
168,4.83,201.87
169,4.83,48.71
170,4.83,127.85
171,4.83,53.16
172,4.83,155.93
173,4.83,130.53
174,4.83,180.51
175,4.83,151.92
176,4.83,64.76
177,4.83,203.41
178,4.83,174.31
179,4.83,10.72
180,4.83,37.98
181,4.83,180.51
182,4.83,44
183,4.83,143.12
184,4.83,19.36
185,4.83,147.49
186,4.83,5.53
187,4.83,23.72
188,4.83,37.98
189,4.83,172.03
190,4.83,64.77
191,4.83,158.64
192,4.83,203.41
193,4.83,72.1
194,4.83,131.64
195,4.83,95.71
196,4.83,48.71
197,4.83,44
198,4.83,9.15
199,4.83,94.09
